"Participant","pair","condition","ACC","RT","reward"
"P01",3,"N",1,0.93308597873,0
"P01",1,"N",1,0.49986071736,1
"P01",3,"N",1,0.916400052631,1
"P01",2,"N",1,0.633174371717,1
"P01",3,"N",1,0.933081425397,1
"P01",1,"N",1,0.783117471608,1
"P01",3,"N",1,0.866469590193,1
"P01",3,"N",0,1.16632546249,1
"P01",1,"N",1,0.833092192193,1
"P01",2,"N",1,1.14966449551,1
"P01",2,"N",1,1.41623905595,1
"P01",2,"N",1,1.38292861659,1
"P01",2,"N",1,1.24987906452,1
"P01",3,"N",1,1.0163658876,1
"P01",3,"N",1,0.933104198072,0
"P01",3,"N",1,1.03301292993,1
"P01",1,"N",1,0.699832886095,1
"P01",3,"N",1,1.11635406819,1
"P01",3,"N",1,1.01635998692,1
"P01",2,"N",1,0.616527819611,1
"P01",1,"N",1,0.583219948648,1
"P01",2,"N",1,1.23300435559,1
"P01",2,"N",1,0.633150988523,1
"P01",1,"N",1,0.93307689011,0
"P01",1,"N",1,0.733151899791,1
"P01",1,"N",1,0.733133728567,1
"P01",3,"N",0,1.09951892272,1
"P01",3,"N",1,1.33294564347,1
"P01",1,"N",1,0.916426341056,1
"P01",1,"N",1,0.533165740236,1
"P01",1,"N",1,0.699819719326,1
"P01",1,"N",0,0.833127803822,1
"P01",3,"N",1,0.999701874039,0
"P01",3,"N",1,0.966412607377,1
"P01",2,"N",1,0.916408681105,1
"P01",2,"N",1,0.716514099465,1
"P01",2,"N",1,0.583309851393,0
"P01",2,"N",1,0.84978242501,0
"P01",1,"N",1,0.499887911038,1
"P01",2,"N",1,0.64982232832,0
"P01",1,"N",1,0.649881693063,0
"P01",2,"N",1,0.499878846479,1
"P01",1,"N",1,0.483193759469,1
"P01",3,"N",1,1.01631639643,0
"P01",2,"N",1,0.699812555497,1
"P01",3,"N",1,0.899760538039,0
"P01",2,"N",1,0.583188733962,1
"P01",3,"N",1,0.999714264876,1
"P01",2,"N",1,0.89972252343,1
"P01",3,"N",0,0.583121835468,0
"P01",2,"N",1,0.533189992594,1
"P01",3,"N",1,0.633175520577,0
"P01",1,"N",1,0.583195903805,1
"P01",1,"N",1,0.549869437563,0
"P01",2,"N",1,0.699813881798,1
"P01",3,"N",1,0.866436321395,0
"P01",3,"N",0,0.449893867362,0
"P01",3,"N",1,0.666483316354,1
"P01",2,"N",1,0.816419802784,0
"P01",1,"N",1,0.566528133892,1
"P01",1,"N",1,0.716345403624,1
"P01",3,"N",1,1.01641964038,1
"P01",2,"N",1,0.899719976091,0
"P01",1,"N",1,0.666450706195,1
"P01",1,"N",1,0.96639339857,1
"P01",2,"N",0,0.933086577219,1
"P01",2,"N",1,0.94972432341,1
"P01",3,"N",1,1.16630658451,0
"P01",2,"N",1,1.01635219152,1
"P01",1,"N",1,0.766493809469,1
"P01",3,"N",1,1.28295580426,1
"P01",1,"N",1,0.649758506483,1
"P01",3,"N",1,1.23298701443,1
"P01",2,"N",1,0.766459316625,1
"P01",1,"N",1,0.666496188389,1
"P01",3,"N",1,1.06636354327,1
"P01",2,"N",1,0.783123661011,1
"P01",2,"N",0,0.699838732646,0
"P01",2,"N",1,0.949688155396,1
"P01",2,"N",1,0.583187076837,1
"P01",2,"N",1,0.583178824299,0
"P01",1,"N",1,0.949735273662,1
"P01",3,"N",1,1.01634964718,1
"P01",1,"N",1,0.683153570449,1
"P01",2,"N",1,0.916455131709,1
"P01",2,"N",1,0.7164832547,1
"P01",1,"N",1,0.799733563907,1
"P01",2,"N",1,0.666491232054,1
"P01",3,"N",1,1.13300275561,0
"P01",1,"N",1,1.09968226524,1
"P01",2,"N",1,0.716486692256,1
"P01",1,"N",1,0.749866878193,1
"P01",1,"N",1,0.583182030278,1
"P01",3,"N",1,0.799771443179,1
"P01",3,"N",1,0.799823253121,0
"P01",3,"N",1,0.816445204002,1
"P01",3,"N",0,0.683130232365,1
"P01",3,"N",1,1.31627635478,1
"P01",3,"N",0,1.06634732992,1
"P01",1,"N",1,0.766426228275,1
"P01",2,"N",1,0.83313660673,0
"P01",2,"N",1,0.799786766314,1
"P01",2,"N",1,1.01641415172,1
"P01",1,"N",1,0.766450817472,0
"P01",3,"N",0,1.13297485216,0
"P01",3,"N",1,1.38291587689,1
"P01",3,"N",0,0.783115754333,1
"P01",3,"N",1,0.683150117856,0
"P01",1,"N",1,0.716518511445,1
"P01",2,"N",1,0.916386070834,0
"P01",3,"N",1,0.783114746826,1
"P01",1,"N",1,0.649855615162,1
"P01",3,"N",1,0.999702274034,1
"P01",1,"N",1,0.516539458577,0
"P01",1,"N",1,0.783116843043,1
"P01",2,"N",1,0.78308543287,0
"P01",3,"N",1,0.549856691842,1
"P01",1,"N",1,0.766479406624,1
"P01",2,"N",1,0.799803896948,1
"P01",1,"N",1,0.799791488066,0
"P01",2,"N",1,0.583212583317,1
"P01",1,"N",1,0.666486170457,1
"P01",1,"N",1,0.916407872091,1
"P01",2,"N",1,0.766467731567,0
"P01",1,"N",1,0.633156104254,1
"P01",2,"N",1,0.633147382548,0
"P01",1,"N",1,0.483266826314,1
"P01",2,"N",1,1.38292401514,1
"P01",1,"N",1,0.583231016192,0
"P01",3,"N",0,1.38295006598,1
"P01",3,"N",1,1.06634074954,1
"P01",3,"N",1,0.999715010733,0
"P02",3,"N",0,1.09968383032,1
"P02",2,"N",1,0.849765991489,1
"P02",1,"N",0,1.01637158539,0
"P02",1,"N",0,1.21630047668,0
"P02",3,"N",0,1.13296408174,0
"P02",1,"N",0,1.28294560082,0
"P02",2,"N",1,1.23296203666,1
"P02",2,"N",1,0.966392908377,1
"P02",1,"N",1,1.53287315379,1
"P02",3,"N",1,1.5495272041,0
"P02",2,"N",1,1.24962869731,1
"P02",2,"N",1,1.01641515165,1
"P02",2,"N",1,0.999701821025,1
"P02",2,"N",1,0.899720479391,1
"P02",2,"N",1,1.04969543014,1
"P02",3,"N",0,1.16634242793,0
"P02",2,"N",1,1.01639953384,1
"P02",3,"N",0,1.09965537962,0
"P02",3,"N",1,1.63280029473,0
"P02",2,"N",1,1.0164161381,1
"P02",3,"N",0,0.899697397032,0
"P02",1,"N",1,1.44953374536,0
"P02",1,"N",0,1.01641142539,0
"P02",2,"N",1,0.88308618517,1
"P02",3,"N",0,1.09966888017,1
"P02",2,"N",1,0.98305121126,0
"P02",3,"N",0,0.883063463707,0
"P02",1,"N",1,1.46623149727,0
"P02",1,"N",0,1.16637737778,0
"P02",1,"N",1,0.666482446881,0
"P02",2,"N",1,0.866406315695,0
"P02",1,"N",-1,NA,0
"P02",3,"N",0,0.699819317003,0
"P02",1,"N",0,0.499832619058,0
"P02",2,"N",1,0.816318882423,1
"P02",1,"N",0,0.949706825461,0
"P02",3,"N",0,1.53282551541,0
"P02",3,"N",0,1.21629019112,1
"P02",3,"N",0,0.816457406655,0
"P02",3,"N",0,0.683158911896,0
"P02",3,"N",0,0.799777010872,0
"P02",3,"N",1,1.31626695238,1
"P02",1,"N",1,1.11634279785,1
"P02",3,"N",0,1.03304216478,1
"P02",3,"N",1,0.89973059954,0
"P02",1,"N",1,1.09971419678,0
"P02",3,"N",-1,NA,1
"P02",2,"N",1,0.749778604833,1
"P02",2,"N",1,0.849784806243,0
"P02",1,"N",0,0.633162869731,0
"P02",3,"N",0,0.633191594111,0
"P02",1,"N",0,0.533167627555,0
"P02",2,"N",1,0.666476928167,0
"P02",2,"N",1,0.766488383633,0
"P02",1,"N",0,0.699828510849,0
"P02",1,"N",0,0.583175916152,0
"P02",1,"N",1,0.849754767597,1
"P02",2,"N",1,0.849744343694,0
"P02",2,"N",1,0.716477460489,1
"P02",1,"N",0,0.899729041668,0
"P02",1,"N",0,0.583180156689,1
"P02",2,"N",1,0.749797317334,1
"P02",2,"N",1,0.749794219636,0
"P02",1,"N",1,0.666484931054,1
"P02",3,"N",1,0.449882031849,1
"P02",2,"N",1,0.399920392174,1
"P02",2,"N",1,0.799779498053,1
"P02",3,"N",1,0.666487779131,0
"P02",2,"N",0,0.299960719388,1
"P02",2,"N",1,0.283277583796,0
"P02",2,"N",1,0.266611052465,1
"P02",2,"N",1,0.699803861596,0
"P02",3,"N",0,0.799770869611,1
"P02",1,"N",1,0.633169407979,1
"P02",1,"N",0,0.483221004195,0
"P02",3,"N",1,0.74978517917,1
"P02",2,"N",1,0.633201627043,1
"P02",2,"N",1,0.699802760861,1
"P02",3,"N",1,1.06634904137,1
"P02",3,"N",1,1.0830125141,1
"P02",1,"N",1,1.01638368446,0
"P02",1,"N",0,0.549891231711,0
"P02",1,"N",0,0.666487869355,0
"P02",3,"N",0,0.683199711283,0
"P02",3,"N",1,0.599826619149,0
"P02",1,"N",0,0.666488109953,0
"P02",3,"N",0,0.899716747117,1
"P02",2,"N",1,0.833077442445,1
"P02",2,"N",1,0.766476046977,0
"P02",1,"N",1,0.866436823506,1
"P02",3,"N",0,0.733141742229,0
"P02",3,"N",0,0.816401627043,1
"P02",1,"N",0,0.83309785116,0
"P02",1,"N",0,0.633195503827,1
"P02",2,"N",1,0.816443457993,1
"P02",2,"N",1,0.68316639449,1
"P02",1,"N",1,0.883083812274,1
"P02",3,"N",0,0.549866916287,0
"P02",1,"N",1,0.483198848138,1
"P02",3,"N",0,0.849785380671,0
"P02",1,"N",0,0.799735585931,0
"P02",3,"N",1,1.26629308732,1
"P02",3,"N",1,0.749882561164,0
"P02",1,"N",0,0.949707258538,0
"P02",1,"N",0,0.649834504744,0
"P02",3,"N",1,0.816424342491,1
"P02",3,"N",1,0.733155504429,0
"P02",1,"N",1,0.916386658847,1
"P02",3,"N",1,0.966405900663,0
"P02",2,"N",1,0.933059160013,1
"P02",2,"N",1,0.666477243951,1
"P02",2,"N",1,0.683142951234,1
"P02",1,"N",0,0.799793016646,0
"P02",2,"N",1,0.616508323183,0
"P02",3,"N",1,0.94971469602,1
"P02",2,"N",1,0.783074756771,1
"P02",1,"N",1,0.849749612788,1
"P02",2,"N",1,0.766479072495,1
"P02",3,"N",1,0.816268814003,1
"P02",1,"N",0,0.666488642276,1
"P02",2,"N",0,0.583192327935,1
"P02",2,"N",1,0.783042910633,1
"P02",3,"N",1,0.916364298281,1
"P02",3,"N",1,0.633151823281,0
"P02",2,"N",1,0.799786120509,1
"P02",3,"N",0,0.699810324657,0
"P02",2,"N",1,0.683119147081,1
"P02",3,"N",1,0.883056314943,0
"P02",1,"N",0,0.566509129186,0
"P02",3,"N",0,0.633166448625,0
"P02",2,"N",1,0.766631668697,1
"P02",2,"N",1,0.666521808695,0
"P02",1,"N",1,1.03302472444,0
"P02",1,"N",0,0.983061565991,0
"P02",1,"N",1,0.783059129938,1
"P02",2,"N",1,0.783088383633,0
"P02",3,"N",0,0.916387900934,0
"P02",1,"N",0,0.68316363363,1
"P02",1,"N",0,0.616518277921,0
"P02",2,"N",1,0.766459030691,1
"P02",2,"N",1,0.59985116314,1
"P02",1,"N",0,0.799774869551,0
"P02",1,"N",1,0.71643609269,1
"P02",3,"N",0,0.933103126269,1
"P02",1,"N",0,0.749799242117,1
"P02",2,"N",1,0.73314537225,0
"P02",1,"N",1,0.649832706275,1
"P02",2,"N",1,0.616511417873,0
"P02",3,"N",0,0.633195043684,0
"P02",1,"N",0,0.649839728726,0
"P02",2,"N",1,0.633180439392,1
"P02",2,"N",1,0.699810589314,1
"P02",2,"N",1,0.66646175847,1
"P02",3,"N",0,0.799775904122,0
"P02",1,"N",0,0.766474365799,0
"P02",1,"N",1,1.13296938392,1
"P02",2,"N",1,0.783107715673,1
"P02",3,"N",0,0.916497845145,1
"P02",1,"N",1,1.06635147141,1
"P02",2,"N",1,0.799803660095,1
"P02",2,"N",1,0.733129802559,1
"P02",1,"N",1,0.866322485376,0
"P02",2,"N",1,0.616538779868,1
"P02",2,"N",1,0.683151997714,0
"P02",3,"N",0,0.783094612111,0
"P02",3,"N",1,0.833095093307,1
"P02",1,"N",1,1.26627443497,1
"P02",3,"N",1,0.999707060044,0
"P02",1,"N",1,0.866375471046,1
"P02",3,"N",1,0.699832591991,1
"P02",3,"N",0,0.583204733763,0
"P02",3,"N",0,0.983029948422,0
"P02",3,"N",1,1.16634456324,0
"P02",3,"N",0,0.733148030857,1
"P02",2,"N",1,0.783116641855,1
"P02",1,"N",1,0.966366929821,1
"P02",3,"N",1,0.966402087187,0
"P02",1,"N",1,0.783100362401,1
"P02",1,"N",1,0.516547351167,1
"P02",3,"N",0,1.06639359709,0
"P02",2,"N",1,0.64983160554,1
"P02",3,"N",1,0.716488146043,1
"P02",2,"N",1,0.516494576021,1
"P02",3,"N",1,0.583205990887,0
"P02",1,"N",1,0.733163483256,0
"P02",1,"N",1,0.633157158539,0
"P02",1,"N",1,0.583232820559,1
"P02",2,"N",1,0.566516723057,1
"P02",1,"N",1,0.516556499902,1
"P02",2,"N",1,0.533217789206,1
"P02",3,"N",0,0.633172262071,0
"P02",2,"N",1,0.749782550638,1
"P02",3,"N",1,0.81644321138,1
"P02",1,"N",1,0.533216438851,0
"P02",2,"N",1,0.649903189426,0
"P02",1,"N",1,0.716313011834,1
"P02",3,"N",1,0.799817064405,1
"P02",2,"N",1,0.566520786153,1
"P02",3,"N",0,0.833095493301,1
"P02",1,"N",1,0.566531068706,1
